"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","KGE_Calib","NSE_Calib","PBIAS_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","KGE_Valid","NSE_Valid","PBIAS_Valid","Site","colors"
"all_ws_attr",0.324971492749092,0.18,0.396,0.363,0.834185701699611,0.803088989434068,-2.7,0.390428104300952,0.258,0.459,0.379,0.812630455549284,0.657993379869188,9,"05518000","#0096c7"
"all_ws_bfs",0.474368617846463,0.262,0.578,0.233,0.650068810637511,0.580423292229619,2.9,0.427008795668793,0.282,0.502,0.352,0.791812416829801,0.590903267982059,4.2,"05518000","#2b9348"
"all_ws_bfs_attr",0.354407128800629,0.196,0.432,0.368,0.800640834899811,0.765801360210562,-1.5,0.39382516919993,0.26,0.463,0.352,0.816698995049788,0.65201597665795,7.7,"05518000","cyan"
"local",0.352142356817206,0.195,0.429,0.343,0.811378373610732,0.76878500102095,-0.5,0.356462299770445,0.235,0.419,0.403,0.810968803536963,0.714911579457019,6.9,"05518000","#f94144"
"local_bfs",0.35529370666338,0.196,0.433,0.347,0.817851132109273,0.764628161248996,1.1,0.417995801676849,0.276,0.492,0.373,0.778478903200746,0.607990846448871,10.2,"05518000","#f8961e"
"all_ws",1.45235774336802,0.277,0.411,0.271,0.643644923847173,0.623181328985896,-7.8,1.13931942549239,0.297,0.251,0.377,0.753983706067976,0.78491641566636,0,"05524500","#772e25"
"all_ws_attr",0.912946301803684,0.174,0.258,0.42,0.890051961974674,0.851106522975478,-4.7,0.803589401517658,0.21,0.177,0.487,0.918057012664108,0.892999782277053,-5.3,"05524500","#0096c7"
"all_ws_bfs",1.30788853227782,0.25,0.37,0.28,0.766974498933926,0.694418774570915,-3.2,1.16962064608312,0.305,0.258,0.418,0.831364941476357,0.773323596940832,10.1,"05524500","#2b9348"
"all_ws_bfs_attr",0.752324403893912,0.144,0.213,0.49,0.872103051306202,0.898889675585075,0.9,0.929056583475337,0.242,0.205,0.452,0.873557436686948,0.856978742815922,11.3,"05524500","cyan"
"local",0.844977405483935,0.161,0.239,0.437,0.887016640787786,0.872451487896683,0.5,1.19434760664452,0.312,0.263,0.449,0.793691441546689,0.763637949939712,17.5,"05524500","#f94144"
"local_bfs",0.756136688220504,0.144,0.214,0.472,0.912803644219814,0.897862358286929,-0.6,1.02098148153736,0.266,0.225,0.423,0.870071718809194,0.827276276859402,10.1,"05524500","#f8961e"
"all_ws",1.12188360080953,0.257,0.67,0.123,0.239015304521199,0.164723998389865,5.9,1.59890446827055,0.32,0.842,0.112,-0.180613594116153,-0.586880018275722,-15.6,"05537980","#772e25"
"all_ws_attr",0.473574361403658,0.109,0.283,0.398,0.850047510706768,0.851163047541967,0.5,0.77835234403912,0.156,0.41,0.292,0.818913721695385,0.623944855284187,2.7,"05537980","#0096c7"
"all_ws_bfs",0.99356921466095,0.228,0.593,0.145,0.431677098469548,0.34486521768027,4.8,1.73698769853601,0.347,0.914,0.102,-0.135251163711734,-0.872804933491085,-18.4,"05537980","#2b9348"
"all_ws_bfs_attr",0.540466254451341,0.124,0.323,0.356,0.902489776809897,0.806147426988804,1.4,0.800254755869725,0.16,0.421,0.284,0.81139927007582,0.602483109233311,4,"05537980","cyan"
"local",0.446322115633267,0.102,0.266,0.403,0.929903439168069,0.867800072069094,1.3,0.699546830504699,0.14,0.368,0.355,0.814061912024167,0.696238558062975,-5.3,"05537980","#f94144"
"local_bfs",0.403836143828645,0.093,0.241,0.446,0.891327606456979,0.89177071812775,-1,0.67341962557213,0.135,0.354,0.337,0.857181750636047,0.718505057075556,-1,"05537980","#f8961e"
"all_ws",0.714462570318503,0.659,0.679,0.114,0.424587700067037,0.288128662488087,-6.8,0.623143224635807,0.578,0.89,0.176,0.387004623478063,-0.0804060657434416,2,"05595000","#772e25"
"all_ws_attr",0.486259051177904,0.448,0.462,0.281,0.726539641008387,0.670255211512845,-3.3,0.543544911586999,0.504,0.776,0.236,0.620879255233102,0.177980484973911,4.1,"05595000","#0096c7"
"all_ws_bfs",0.665796774752584,0.614,0.633,0.158,0.456607842034551,0.381804388434438,2.8,0.762069054216593,0.707,1.089,0.179,0.183643004704171,-0.615845792641941,16.2,"05595000","#2b9348"
"all_ws_bfs_attr",0.429399551918559,0.396,0.408,0.339,0.77152166198029,0.742862322158477,2.8,0.488481140658042,0.453,0.698,0.253,0.667719266786998,0.336093590788006,-1.5,"05595000","cyan"
"local",0.458916897146232,0.423,0.436,0.291,0.760300308765939,0.706295472809574,0.5,0.426533402956425,0.395,0.609,0.268,0.747060392197532,0.493805579041531,-5.3,"05595000","#f94144"
"local_bfs",0.408212468411658,0.376,0.388,0.326,0.795146667859473,0.767611263322581,0.3,0.566249481110952,0.525,0.809,0.234,0.592510349168107,0.107872569009786,18,"05595000","#f8961e"
"all_ws",0.696686964188966,0.384,0.606,0.27,0.554899471922302,0.541671049253243,-12.1,0.604986975210642,0.457,0.359,0.406,0.465848457744041,0.529679127133394,-10.8,"06481000","#772e25"
"all_ws_attr",0.487206588967307,0.268,0.424,0.361,0.771724908214729,0.775855427152487,2.8,0.546786379199481,0.413,0.325,0.443,0.648080616091015,0.615817499816464,9.9,"06481000","#0096c7"
"all_ws_bfs",0.776892618772491,0.428,0.676,0.213,0.514160278007451,0.430066857934838,-11,0.569830847401638,0.43,0.338,0.376,0.682352421142751,0.582752142702035,11.1,"06481000","#2b9348"
"all_ws_bfs_attr",0.506847264210853,0.279,0.441,0.402,0.772501579551441,0.757419361350638,3.8,0.517037462991867,0.391,0.307,0.359,0.66667498786387,0.656484587432467,-11.4,"06481000","cyan"
"local",0.622149686712469,0.343,0.541,0.343,0.704888950135328,0.634496369328349,-0.5,0.556225653412216,0.42,0.33,0.334,0.761357539895743,0.602438579833422,16.1,"06481000","#f94144"
"local_bfs",0.644443515101547,0.355,0.56,0.298,0.66686764037066,0.607832465869216,-3.3,0.489629538391422,0.37,0.291,0.333,0.798655241420004,0.691938501447052,15.3,"06481000","#f8961e"
"all_ws",0.926899339299671,0.121,0.515,0.278,0.802455650152448,0.597974480569332,-0.1,1.91278440209867,0.358,0.503,0.374,0.5610321297908,0.00667969901749144,24.6,"06808500","#772e25"
"all_ws_attr",0.595857519318882,0.078,0.331,0.413,0.877905442872417,0.833860337082079,-1.2,1.58996475348354,0.298,0.418,0.474,0.48303785686166,0.313671138788815,21.7,"06808500","#0096c7"
"all_ws_bfs",0.7786140126599,0.102,0.433,0.337,0.85968981837481,0.716317263657605,0,1.73244037450122,0.324,0.456,0.427,0.628823967429762,0.185157146482798,24.9,"06808500","#2b9348"
"all_ws_bfs_attr",0.515847952488911,0.067,0.287,0.463,0.887818893203964,0.875482068168959,-1.2,1.21214816823979,0.227,0.319,0.466,0.606129903596582,0.601095728105673,14.8,"06808500","cyan"
"local",0.52057106308455,0.068,0.289,0.468,0.913740090472385,0.873191453887217,1.7,1.84899982505764,0.346,0.487,0.368,0.452268560092665,0.0718225601672213,25.2,"06808500","#f94144"
"local_bfs",0.51995872817042,0.068,0.289,0.461,0.906398163702733,0.873489601968118,-1.1,1.85160917394779,0.347,0.487,0.34,0.486069343707598,0.0692009831545441,25,"06808500","#f8961e"
"all_ws",1.43115349296995,0.353,0.423,0.354,0.701142573261403,0.720058563511644,4.3,1.39701335480567,0.532,0.873,0.326,0.481967337821981,-0.135110936324113,39.3,"06817000","#772e25"
"all_ws_attr",1.11715541120295,0.275,0.33,0.42,0.843075773214272,0.829422421865424,1.9,1.51880483823088,0.578,0.949,0.323,0.43739027919134,-0.341655873473148,44.9,"06817000","#0096c7"
"all_ws_bfs",1.27157783168243,0.313,0.376,0.37,0.851674642404613,0.779005913380675,3.4,2.16623351357909,0.825,1.354,0.296,0.065045628389977,-1.72927774129465,50.7,"06817000","#2b9348"
"all_ws_bfs_attr",0.796104627304111,0.196,0.235,0.513,0.893969883876482,0.913376634390566,-2.3,1.14198991695788,0.435,0.714,0.326,0.642382848679012,0.24148926585551,29.7,"06817000","cyan"
"local",0.919788835699991,0.227,0.272,0.465,0.910647767328472,0.884369867112126,0.6,1.74700626864677,0.665,1.092,0.338,0.179860672117844,-0.775113467881048,39.5,"06817000","#f94144"
"local_bfs",0.728277920404408,0.179,0.215,0.53,0.947196362709755,0.927508173243928,0.2,1.21949090418216,0.464,0.762,0.322,0.549950910806659,0.135043387535276,29.9,"06817000","#f8961e"
