"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","KGE_Calib","NSE_Calib","PBIAS_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","KGE_Valid","NSE_Valid","PBIAS_Valid","Site","colors"
"all_ws",0.927873805231478,0.494,0.35,0.314,0.645896162302863,0.639942894779088,8.7,1.07675246837192,0.575,0.556,0.225,0.176615099217292,0.0631456154846798,-18.2,"04072150","#772e25"
"all_ws_attr",0.391895836754741,0.208,0.148,0.553,0.938992453198155,0.93577045336902,-5.3,0.781349815544202,0.417,0.404,0.403,0.721225489925446,0.506676993575523,11.1,"04072150","#0096c7"
"all_ws_bfs",0.894041481053382,0.476,0.337,0.363,0.612606712087549,0.665721153020834,0.7,1.09448388217561,0.585,0.566,0.288,0.26068887591874,0.0320362747228441,-2,"04072150","#2b9348"
"all_ws_bfs_attr",0.385725715609847,0.205,0.146,0.518,0.936093272675772,0.937777029014842,0.9,0.751953763747542,0.402,0.389,0.396,0.630957888577456,0.543098465650065,-18.3,"04072150","cyan"
"local",0.592442791193053,0.315,0.224,0.45,0.898078891696268,0.853213405236247,-6.3,1.17483329417417,0.628,0.607,0.428,0.328624609853889,-0.115302904025531,22,"04072150","#f94144"
"local_bfs",0.544916562089414,0.29,0.206,0.461,0.887660113521714,0.875819451784981,-2.3,1.07403154632992,0.574,0.555,0.437,0.420482595982179,0.0678744404641252,20.5,"04072150","#f8961e"
"all_ws",0.471556090555974,0.162,0.674,0.198,0.481630736071261,0.320177540826789,-0.7,0.66253284301948,0.237,1.44,0.225,-0.0320244969706689,-0.932329688912368,9.9,"04081000","#772e25"
"all_ws_attr",0.16956058107369,0.058,0.242,0.514,0.909580891832319,0.912102082949161,-1.9,0.184196634657111,0.066,0.4,0.493,0.928661097987682,0.850641554437239,-2.7,"04081000","#0096c7"
"all_ws_bfs",0.298567573713315,0.102,0.427,0.346,0.72629792318135,0.727470155182572,-1.6,0.701351654204493,0.251,1.525,0.161,0.00747024442662392,-1.16539960870752,14.6,"04081000","#2b9348"
"all_ws_bfs_attr",0.144458885962464,0.05,0.206,0.552,0.963417711816127,0.93620049431355,0.4,0.166215426035823,0.06,0.361,0.476,0.859236862321696,0.878378863652305,0.2,"04081000","cyan"
"local",0.154662104244127,0.053,0.221,0.522,0.947113735106992,0.926869823693032,0.1,0.190825092123126,0.068,0.415,0.425,0.859825900090024,0.839698581991831,0.2,"04081000","#f94144"
"local_bfs",0.153763987272339,0.053,0.22,0.54,0.939983463619573,0.927716686003185,0.1,0.202293267143923,0.072,0.44,0.433,0.773960464903217,0.819852076827839,2.2,"04081000","#f8961e"
"all_ws",1.42508146527374,0.196,0.356,0.328,0.779410981855056,0.740278728301761,-6.8,1.87226434033137,0.338,0.72,0.316,0.608922257595143,-0.340676817142516,27,"05412500","#772e25"
"all_ws_attr",0.874619971171395,0.12,0.219,0.501,0.946825059221886,0.902171157036317,0.4,2.87667827447777,0.519,1.106,0.253,0.421476133376276,-2.16499009475056,45.1,"05412500","#0096c7"
"all_ws_bfs",1.24956764407183,0.172,0.312,0.372,0.865885680627067,0.800313971380605,-3,1.51215004691359,0.273,0.582,0.25,0.606124889851972,0.12546027252502,17.4,"05412500","#2b9348"
"all_ws_bfs_attr",0.831563116666805,0.115,0.208,0.54,0.933033271932251,0.911566141574091,-1,2.74449631625292,0.495,1.056,0.207,0.433022900080503,-1.88081302993223,41.7,"05412500","cyan"
"local",1.00860863383212,0.139,0.252,0.488,0.880369220768345,0.869901137224261,-0.3,2.71824018324093,0.49,1.045,0.248,0.412958936804784,-1.8259561902057,42.7,"05412500","#f94144"
"local_bfs",1.01725492034069,0.14,0.254,0.461,0.913307155410748,0.867661034411816,0,2.83028849949161,0.51,1.089,0.253,0.436188460361965,-2.06373488483273,45.9,"05412500","#f8961e"
"all_ws",1.46133182955402,0.225,0.655,0.294,0.774967921317172,0.627721947089808,-3.9,1.66105963127332,0.232,1.191,0.324,0.704683428725436,0.484260916162719,0.7,"05418400","#772e25"
"all_ws_attr",0.633263611621897,0.097,0.284,0.531,0.928122164883623,0.930090078732236,2.8,1.51147884293753,0.211,1.083,0.414,0.812287764345334,0.572964734000742,13.2,"05418400","#0096c7"
"all_ws_bfs",1.30699233836394,0.201,0.586,0.345,0.852710119558371,0.702206077957697,-6.5,2.02978588448232,0.284,1.455,0.33,0.64875909636101,0.229877072488804,5.1,"05418400","#2b9348"
"all_ws_bfs_attr",0.563620270228553,0.087,0.253,0.559,0.950287082580692,0.944621274856587,-0.9,1.24481213996427,0.174,0.892,0.389,0.81301186566407,0.71035420544945,0.3,"05418400","cyan"
"local",0.67452303625247,0.104,0.302,0.515,0.913254153884435,0.920683540770569,-0.8,2.10045789438802,0.294,1.506,0.425,0.556862391077126,0.175316021730314,11.8,"05418400","#f94144"
"local_bfs",0.672679875129472,0.103,0.302,0.526,0.924821934159552,0.921116419314654,-0.2,1.75576377396139,0.246,1.259,0.447,0.662974991500703,0.423775439521742,7.8,"05418400","#f8961e"
"all_ws",0.952060982316922,0.217,0.508,0.169,0.490867666135044,0.394568976356824,-1,0.53083707449589,0.138,0.758,0.151,0.425172055069909,0.0865029239945626,1.6,"05446500","#772e25"
"all_ws_attr",0.474665420263986,0.108,0.253,0.427,0.850491203236469,0.849509070170972,0,1.35950118014181,0.353,1.942,0.207,0.362070461695969,-4.99161425400429,31.3,"05446500","#0096c7"
"all_ws_bfs",0.776110383975418,0.177,0.414,0.237,0.616488990046609,0.597670270334652,0,0.62029421874168,0.161,0.886,0.144,0.348391424004628,-0.247326457438368,6.5,"05446500","#2b9348"
"all_ws_bfs_attr",0.687113577164457,0.157,0.367,0.273,0.748708373708615,0.684650463146252,3.1,1.26891153470756,0.33,1.813,0.133,0.292904059954887,-4.21972181529946,27.5,"05446500","cyan"
"local",0.736620853949225,0.168,0.393,0.272,0.711913210127451,0.63757081990498,0.6,1.17131057425384,0.304,1.673,0.188,0.074167137512697,-3.44763147947411,20.5,"05446500","#f94144"
"local_bfs",0.537776552755986,0.123,0.287,0.352,0.835936438160614,0.806830363311598,0.1,1.01057169481583,0.263,1.444,0.093,0.123673841614395,-2.31069312688906,15,"05446500","#f8961e"
"all_ws",0.983153523488936,0.21,0.365,0.366,0.747445908833392,0.786256257990831,-3.9,1.0352415115227,0.328,0.647,0.315,0.582959118508612,0.264907309194525,19.3,"05447500","#772e25"
"all_ws_attr",0.677886115713073,0.145,0.252,0.52,0.937950332629299,0.898383506141096,3.5,1.7396972850398,0.551,1.087,0.381,0.18988917522324,-1.07589852125047,42.8,"05447500","#0096c7"
"all_ws_bfs",0.957051196546641,0.204,0.356,0.376,0.7980104934734,0.797455213264333,1.4,1.10560314034576,0.35,0.691,0.279,0.520848800000123,0.161588406053753,18.9,"05447500","#2b9348"
"all_ws_bfs_attr",0.542960532896962,0.116,0.202,0.556,0.966786622861298,0.934809058514551,0.4,1.57309654555666,0.498,0.983,0.328,0.213394435793521,-0.697342566954605,26.5,"05447500","cyan"
"local",0.715142779689982,0.153,0.266,0.47,0.904961804310039,0.886906864573965,1,1.51789027716474,0.48,0.949,0.325,0.417514268347203,-0.580299877078773,37.4,"05447500","#f94144"
