"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","Site"
"all_ws_bfs_attr",0.687113577164457,0.157,0.367,0.273,1.26891153470756,0.33,1.813,0.133,"05446500"
"local",0.736620853949225,0.168,0.393,0.272,1.17131057425384,0.304,1.673,0.188,"05446500"
"local_bfs",0.537776552755986,0.123,0.287,0.352,1.01057169481583,0.263,1.444,0.093,"05446500"
"all_ws",0.983153523488936,0.21,0.365,0.366,1.0352415115227,0.328,0.647,0.315,"05447500"
"all_ws_attr",0.677886115713073,0.145,0.252,0.52,1.7396972850398,0.551,1.087,0.381,"05447500"
"all_ws_bfs",0.957051196546641,0.204,0.356,0.376,1.10560314034576,0.35,0.691,0.279,"05447500"
"all_ws_bfs_attr",0.542960532896962,0.116,0.202,0.556,1.57309654555666,0.498,0.983,0.328,"05447500"
"local",0.715142779689982,0.153,0.266,0.47,1.51789027716474,0.48,0.949,0.325,"05447500"
"local_bfs",0.57342311031019,0.122,0.213,0.529,1.73009337724024,0.548,1.081,0.301,"05447500"
"all_ws",1.72654913119286,0.377,0.241,0.441,1.25375581566093,0.196,0.314,0.435,"05455100"
"all_ws_attr",0.971521042325287,0.212,0.136,0.606,2.05643029206843,0.321,0.515,0.436,"05455100"
"all_ws_bfs",1.42175925846486,0.31,0.199,0.441,1.70552223900313,0.266,0.427,0.428,"05455100"
"all_ws_bfs_attr",0.788072724966342,0.172,0.11,0.562,1.98669017007057,0.31,0.498,0.328,"05455100"
"local",1.07430153394959,0.234,0.15,0.522,2.62605370452198,0.41,0.658,0.301,"05455100"
"local_bfs",0.916137830512126,0.2,0.128,0.543,2.18458109458598,0.341,0.547,0.463,"05455100"
"all_ws",1.79733378257416,0.213,0.749,0.181,1.77158787755113,0.221,0.886,0.311,"05457000"
"all_ws_attr",0.936987290965888,0.111,0.39,0.425,1.31695318185861,0.164,0.658,0.368,"05457000"
"all_ws_bfs",1.46275506131393,0.173,0.609,0.281,1.50383966348151,0.188,0.752,0.279,"05457000"
"all_ws_bfs_attr",0.88908055110342,0.105,0.37,0.437,1.53433546860154,0.191,0.767,0.355,"05457000"
"local",0.98332770017256,0.116,0.41,0.385,1.37342383104679,0.171,0.687,0.408,"05457000"
"local_bfs",0.874271098222284,0.103,0.364,0.422,1.38456257235541,0.173,0.692,0.378,"05457000"
"all_ws",1.44288001875985,0.287,0.379,0.294,1.3464994039067,0.315,0.479,0.31,"05465500"
"all_ws_attr",0.91372841163545,0.182,0.24,0.447,2.28566108401527,0.535,0.813,0.4,"05465500"
"all_ws_bfs",1.33225582847091,0.265,0.35,0.339,1.75566402806993,0.411,0.625,0.267,"05465500"
"all_ws_bfs_attr",0.856811420582175,0.17,0.225,0.473,2.00098622922709,0.468,0.712,0.375,"05465500"
"local",1.0413740157073,0.207,0.273,0.415,2.03604112512097,0.477,0.725,0.384,"05465500"
"local_bfs",0.876529735031888,0.174,0.23,0.459,2.25809207813391,0.529,0.804,0.334,"05465500"
"all_ws",3.25627650658689,0.286,0.237,0.392,3.31474322017292,0.388,0.389,0.481,"05481000"
"all_ws_attr",1.83270878361906,0.161,0.133,0.529,5.31081021327548,0.621,0.623,0.466,"05481000"
"all_ws_bfs",3.05230832377396,0.268,0.222,0.443,2.65472138799116,0.311,0.312,0.476,"05481000"
"all_ws_bfs_attr",1.73320736478203,0.152,0.126,0.543,3.86059894679798,0.452,0.453,0.512,"05481000"
"local",2.31576077631145,0.204,0.169,0.468,5.41636554927748,0.634,0.636,0.489,"05481000"
