DateTime,CalibValid,discharge,quickflow,baseflow,temp_min,temp_max,precip,Observed,local,local_bfs,all_ws,all_ws_attr,all_ws_bfs,all_ws_bfs_attr
2020-05-10,Valid,2080,408.124558963479,1671.87544103652,0,79,0,2.01,2.8727283,2.6092057,1.8660916,2.8135195,2.0766287,2.0860128
2020-05-14,Valid,1860,191.670357128067,1668.32964287193,92,213,8,2.04,2.8288536,2.5484595,1.7428833,2.7273393,2.1397128,2.0076897
2020-05-18,Valid,2070,447.866505655228,1622.13349434477,64,177,0,1.8399999,3.0561574,2.8768005,1.5904703,2.6511562,1.9799836,2.2266243
2020-05-22,Valid,2080,538.39977032481,1541.60022967519,123,206,3,2.08,2.8042593,2.630427,1.7851835,2.37904,2.4401503,1.9485198
2020-05-26,Valid,2100,693.991593711627,1406.00840628837,125,185,84,2.12,2.9080448,2.8795435,1.8320527,3.005782,2.4173083,2.0770893
2020-05-30,Valid,1810,594.315488812984,1215.68451118702,83,236,0,1.9499999,2.7800205,2.687377,1.752408,2.587418,2.570258,2.0507743
2020-06-03,Valid,1420,348.782311851137,1071.21768814886,157,300,0,1.89,2.6818075,2.493254,1.4421011,2.4413762,2.3177705,1.9762672
2020-06-07,Valid,1200,211.796907170148,988.203092829852,229,366,0,1.73,2.6334152,2.4011765,1.5891157,2.3848324,2.2622154,1.9649298
2020-06-11,Valid,1180,263.994439301414,916.005560698586,118,266,0,2.04,2.9908166,3.0155203,1.8871266,3.4933083,2.200756,2.5558007
2020-06-15,Valid,961,105.247348072881,855.752651927119,204,321,0,2.06,2.591124,2.4751596,1.8115801,2.9321935,2.4702418,1.7744768
2020-06-19,Valid,916,74.4488734608353,841.551126539165,119,245,287,2.29,2.4882917,2.5144277,1.8087684,2.9732647,2.3166528,1.9133979
2020-06-23,Valid,1030,204.856235128969,825.143764871031,131,237,0,2.77,2.8063412,2.9224823,1.6815225,3.322783,2.3751435,2.0414095
2020-06-27,Valid,1020,225.881233655818,794.118766344182,154,296,0,2.49,2.8686895,2.8767796,1.5542951,3.2740836,2.1412327,2.0279431
2020-07-01,Valid,1090,348.59495595722,741.40504404278,178,295,249,2.4099998,2.5282574,2.3838072,1.5674782,3.0130918,2.3449268,1.6345432
2020-07-05,Valid,865,202.509796418049,662.490203581951,192,310,0,2.5,2.4564865,2.469199,1.4742686,2.831221,2.0833862,1.677749
2020-07-09,Valid,887,300.478649744046,586.521350255954,179,290,0,2.6999998,2.4150903,2.6483152,1.4468142,2.672249,1.9382578,1.6414956
