DateTime,CalibValid,discharge,quickflow,baseflow,temp_min,temp_max,precip,Observed,local,local_bfs,all_ws,all_ws_attr,all_ws_bfs,all_ws_bfs_attr
2018-10-31,Valid,17600,2146.87123953449,15453.1287604655,78,144,41,4.1000004,3.2592554,3.6684067,3.8076997,4.1224475,3.9222317,4.119144
2018-11-04,Valid,16800,2080.24711528695,14719.7528847131,61,122,43,4.1000004,3.5842528,3.9737687,3.9463835,4.6243825,3.891826,4.227549
2018-11-08,Valid,16900,2787.49338799918,14112.5066120008,-17,11,0,4.2000003,4.324003,4.438941,4.1687617,5.129472,3.762978,4.109379
2018-11-12,Valid,15600,2217.16729228093,13382.8327077191,-50,0,0,4.2000003,5.6380816,4.8357196,4.2071633,5.6712875,4.3983173,4.5088067
2018-11-16,Valid,14500,1723.69511917022,12776.3048808298,-6,33,0,4.1000004,6.0870943,4.9693813,4.2569537,5.793344,4.526791,4.4531465
2018-11-20,Valid,13400,1067.19719121024,12332.8028087898,-44,6,0,4.3,6.1725464,4.871702,4.348871,5.823273,4.3723855,5.1372566
2018-11-24,Valid,12400,256.95378331863,12143.0462166814,17,106,33,4.3,6.151232,4.4204907,4.6101084,5.8653130000000004,4.290731,5.2468977
2018-11-28,Valid,12700,660.605840576172,12039.3941594238,-128,-33,0,4.2000003,6.170661,4.529602,4.801969,5.539384,4.152132,5.875029
2018-12-02,Valid,13800,1796.92734375,12003.07265625,6,39,173,4.3,6.144383,4.7605743,4.697341,5.4929132,4.4416847,5.9348707
2019-10-26,Valid,17500,439.494730110091,17060.5052698899,-11,83,0,3.6000001,3.4490561,3.692781,4.06495,4.0844135,3.9229364,4.0602355
2019-10-30,Valid,22700,5855.20043987465,16844.7995601254,-17,28,0,3.6000001,3.6129856,3.8946192,4.1497416,4.4515233,4.065961,4.2070417
2019-11-03,Valid,20300,4110.60947302756,16189.3905269724,-6,111,3,3.7000003,3.8548615,4.4114714,4.1310782,5.224752,3.855782,4.1174073
2019-11-07,Valid,18600,3472.04061807085,15127.9593819292,-83,-6,0,3.9,3.9382923,4.4288054,4.0813117,5.4223824,3.957676,4.197997
2019-11-11,Valid,16500,2199.04150831299,14300.958491687,-122,6,20,3.9,4.523554,4.2568393,4.1005588,5.7551947,4.3333077,4.326412
2019-11-15,Valid,14800,993.78125,13806.21875,-78,56,0,4,5.6277018,4.3906975,4.2692165,6.019107,4.4203787,5.023641
2019-11-19,Valid,14400,696.30859375,13703.69140625,-6,56,0,4.2000003,6.10042,4.129872,4.299969,5.8287067,4.1074095,5.36799
2019-11-23,Valid,16900,3139.28352298126,13760.7164770187,-44,61,5,4.2000003,6.185453,4.1242485,4.596356,5.559336,4.6026917,5.4325285
2019-11-27,Valid,15900,2022.48789121805,13877.5121087819,0,111,180,4.1000004,6.1030326,3.9848936,4.5259523,5.606041,4.503497,5.3029613
2019-12-01,Valid,17100,3273.37548915639,13826.6245108436,-6,56,20,4.1000004,6.1875396,4.316822,4.7051854,5.4969583,4.412803,5.65323
2019-12-05,Valid,16500,3313.14069781366,13186.8593021863,-44,122,0,4.3,6.1544294,4.5383024,4.5794315,5.714512,4.6060796,5.8143883
2019-12-09,Valid,15300,3022.54208146219,12277.4579185378,-94,78,0,4.5,6.133732,4.2723475,4.5164585,5.7654414,4.527083,5.7951922
2019-12-13,Valid,12300,810.855005809648,11489.1449941904,-33,11,0,4.5,6.113804,4.3996625,4.488869,5.9323936,4.5571356,6.141577
2020-04-02,Valid,26900,13172.1363176572,13727.8636823428,33,178,0,4.3,3.4978006,3.5417023,4.3075123,5.6997495,5.2046766,4.937446
2020-04-06,Valid,18900,4740.54547207796,14159.454527922,22,189,0,4,3.1968656,3.236267,4.1237955,5.6833587,4.72966,5.199301
2020-04-10,Valid,16200,2605.72146490606,13594.2785350939,-17,122,0,3.8000002,3.3213181,3.2027826,4.1100817,5.1591086,4.408855,4.9630747
2020-04-14,Valid,14900,1946.51844220402,12953.481557796,-39,50,0,3.8000002,3.6677744,3.56469,4.1039195,4.847559,3.9446669,4.878419
2020-04-18,Valid,14100,1692.90000274378,12407.0999972562,-6,156,20,3.6000001,4.663295,4.142984,4.1427197,5.288737,4.2285776,5.0106177
2020-04-22,Valid,13000,1072.95576902096,11927.044230979,22,244,0,3.5000002,5.3367662,4.0541067,4.004615,5.1418943,4.37025,4.803243
2020-04-26,Valid,12100,375.886953518751,11724.1130464812,28,194,76,3.5000002,5.3903713,4.0653143,3.9459813,4.7162046,4.097149,4.91142
2020-04-30,Valid,13700,2054.45096101096,11645.549038989,78,194,53,3.7000003,5.333495,4.2151785,3.9024649,4.5638623,3.9816663,4.8722157
2020-05-04,Valid,16800,5504.74958888193,11295.2504111181,50,150,0,4.5,4.3763537,4.2765613,4.2194943,5.015239,3.8420782,5.468129
2020-05-08,Valid,12500,1957.20476123047,10542.7952387695,33,128,0,3.6000001,4.1081023,4.5011673,4.0347567,4.761836,3.901086,5.6070147
2020-05-12,Valid,10500,288.75,10211.25,22,172,0,3.6000001,3.9850376,4.3606706,4.034772,4.5401397,4.0588665,5.1449375
2020-05-16,Valid,21300,11052.6912890625,10247.3087109375,122,250,3,5.1000004,3.7299545,4.3601375000000004,4.2231207,5.0905247,5.4274607,5.5639305
2020-05-20,Valid,28700,17719.275574161,10980.724425839,128,178,3,6.3,4.711826,4.7062564,4.537057,6.4368887,4.697191,5.590904
2020-05-24,Valid,22200,9999.00814323433,12200.9918567657,150,306,13,5.2000003,6.035112,5.2250724,4.104971,6.3676066,3.8783295,5.522269
