DateTime,CalibValid,discharge,quickflow,baseflow,temp_min,temp_max,precip,Observed,local,local_bfs,all_ws,all_ws_attr,all_ws_bfs,all_ws_bfs_attr
2019-03-03,Valid,298,0,298,-206,-6,0,6.6099997,9.940489,9.993902,10.426012,8.8521185,11.286287,7.7700624
2019-03-07,Valid,347,48.5917876855469,298.408212314453,-178,0,0,6.8199997,10.557459,9.829466,10.878131,9.158916,11.360871,8.644421
2019-03-11,Valid,502,199.115694718298,302.884305281702,-61,11,0,5.96,8.621918,9.718071,10.088166,7.439524,8.849877,5.8475285
2019-03-15,Valid,16900,16470.0774360601,429.922563939895,-17,67,10,1.54,8.089666,9.412513,10.657235,9.48294,-0.2970667,2.6034312
2019-03-19,Valid,14100,12764.586113542,1335.41388645796,-28,78,0,1.8499999,7.524432,8.227065,3.472094,9.317549,-1.7993584,7.659546
2019-03-31,Valid,2870,615.3581328125,2254.6418671875,-61,44,0,4.1,9.569757,10.687802,6.894457,14.641533,4.9581404,12.592955
2019-04-04,Valid,2190,0,2190,-11,117,104,4.6,9.559376,9.922995,6.9457073,14.718617,6.3541937,11.392971
2019-04-08,Valid,4140,1995.81605187679,2144.18394812321,50,228,0,7.2,9.955177,10.29786,8.138976,14.645353,6.545642,11.245565
2019-04-12,Valid,3460,1531.26419213122,1928.73580786878,0,139,0,7.0999994,9.892943,10.583599,8.063423,13.476151,5.6325045,11.132124
2019-04-16,Valid,2540,943.146994317156,1596.85300568284,44,233,0,7.5999994,10.055594,11.078915,9.002453,13.6963005,8.11161,12.1187
2019-04-20,Valid,1880,500.320002097962,1379.67999790204,-11,178,0,7,10.488168,11.393806,7.778241,13.892096,8.0089855,12.320258
2019-04-24,Valid,1420,141.435314453125,1278.56468554688,33,194,0,6.7,11.287643,11.417402,6.333024,13.940386,7.7053356,12.582376
2019-04-28,Valid,1260,0,1260,-17,78,64,6.2999997,14.3061695,11.341879,6.2909546,13.334875,7.314614,12.249073
2019-05-02,Valid,1500,232.664428065744,1267.33557193426,61,117,3,7.3999996,16.579062,11.127386,7.534948,12.623251,8.983454,11.412985
2019-05-06,Valid,1340,60.7571679944397,1279.24283200556,100,256,119,6.5,16.993923,11.05158,6.602254,13.214376,8.821306,11.138818
2019-05-10,Valid,4910,3604.13634660425,1305.86365339575,11,161,0,9.799999,17.208382,10.997069,9.783161,13.559483,12.99519,11.5077915
2019-05-14,Valid,3580,2097.5647719461,1482.4352280539,44,200,89,9.3,17.22004,11.6678505,10.843457,15.002723,14.100907,14.371601
2019-05-18,Valid,3700,1967.66091320819,1732.33908679181,167,239,145,9.3,17.451757,11.751505,9.693396,14.323288,11.472096,13.18143
